alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 6, 8, 8, 8, 12, 12, 13, 9, 27, 26, 129, 99, 101, 78, 140, 108, 103, 96, 99, 115
0, 6, 8, 8, 8, 12, 12, 13, 10, 27, 20, 129, 104, 101, 78, 140, 107, 104, 95, 93, 115
0, 6, 8, 8, 8, 12, 12, 13, 10, 31, 24, 125, 92, 100, 88, 140, 108, 104, 101, 99, 115
0, 6, 8, 8, 8, 12, 12, 13, 10, 27, 24, 122, 104, 101, 87, 140, 101, 104, 101, 99, 115
0, 6, 8, 8, 8, 12, 12, 13, 10, 27, 26, 122, 92, 101, 78, 140, 108, 104, 101, 99, 115
0, 6, 8, 8, 8, 12, 12, 13, 10, 27, 20, 125, 92, 101, 87, 140, 107, 104, 101, 93, 112
0, 6, 8, 8, 8, 12, 12, 13, 10, 27, 24, 125, 91, 101, 87, 140, 108, 83, 95, 99, 112
0, 6, 8, 8, 8, 12, 12, 13, 10, 27, 24, 122, 97, 101, 78, 140, 92, 104, 101, 87, 112
0, 6, 8, 8, 8, 12, 12, 13, 10, 25, 20, 131, 99, 101, 87, 140, 108, 104, 101, 99, 112
0, 6, 8, 8, 8, 12, 12, 13, 10, 27, 24, 129, 97, 101, 78, 140, 108, 104, 96, 87, 115