alpha, problem 0, problem 1, problem 2, problem 3, problem 4, problem 5, problem 6, problem 7, problem 8, problem 9, problem 10, problem 11, problem 12, problem 13, problem 14, problem 15, problem 16, problem 17, problem 18, problem 19
0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 105, 284, 150, 632, 509, 799, 541, 1112, 1806, 2453, 302
0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 106, 272, 243, 607, 380, 2079, 1804, 691, 2000, 2489, 293
0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 106, 234, 147, 530, 430, 1554, 1708, 950, 1061, 2674, 285
0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 100, 269, 144, 605, 388, 1195, 401, 1616, 1607, 2429, 306
0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 95, 154, 257, 578, 408, 1881, 391, 958, 812, 2490, 348
0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 95, 211, 243, 670, 356, 1763, 978, 685, 1944, 2513, 305
0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 89, 214, 492, 681, 381, 2120, 548, 685, 1604, 2429, 320
0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 102, 234, 188, 583, 361, 1938, 400, 994, 854, 2689, 333
0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 102, 202, 144, 610, 361, 1984, 393, 697, 1645, 2448, 333
0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 102, 261, 461, 528, 423, 1269, 1077, 1241, 1758, 2655, 305